"","target_end_date","abbreviation","cases","location","state_name"
"438",2022-01-08,"AR",35,3,"Arkansas"
"439",2022-01-15,"AR",29,3,"Arkansas"
"440",2022-01-22,"AR",19,3,"Arkansas"
"441",2022-01-29,"AR",13,3,"Arkansas"
"442",2022-02-05,"AR",14,3,"Arkansas"
"443",2022-02-12,"AR",23,3,"Arkansas"
"444",2022-02-19,"AR",22,3,"Arkansas"
"445",2022-02-26,"AR",37,3,"Arkansas"
"446",2022-03-05,"AR",57,3,"Arkansas"
"447",2022-03-12,"AR",60,3,"Arkansas"
"448",2022-03-19,"AR",62,3,"Arkansas"
"449",2022-03-26,"AR",74,3,"Arkansas"
"450",2022-04-02,"AR",56,3,"Arkansas"
"451",2022-04-09,"AR",74,3,"Arkansas"
"452",2022-04-16,"AR",43,3,"Arkansas"
"453",2022-04-23,"AR",34,3,"Arkansas"
"454",2022-04-30,"AR",32,3,"Arkansas"
"455",2022-05-07,"AR",17,3,"Arkansas"
"456",2022-05-14,"AR",20,3,"Arkansas"
"457",2022-05-21,"AR",15,3,"Arkansas"
"458",2022-05-28,"AR",14,3,"Arkansas"
"459",2022-06-04,"AR",17,3,"Arkansas"
"460",2022-06-11,"AR",19,3,"Arkansas"
"461",2022-06-18,"AR",10,3,"Arkansas"
"462",2022-06-25,"AR",16,3,"Arkansas"
"463",2022-07-02,"AR",8,3,"Arkansas"
"464",2022-07-09,"AR",5,3,"Arkansas"
"465",2022-07-16,"AR",16,3,"Arkansas"
"466",2022-07-23,"AR",10,3,"Arkansas"
"467",2022-07-30,"AR",1,3,"Arkansas"
"468",2022-08-06,"AR",3,3,"Arkansas"
"469",2022-08-13,"AR",6,3,"Arkansas"
"470",2022-08-20,"AR",3,3,"Arkansas"
"471",2022-08-27,"AR",3,3,"Arkansas"
"472",2022-09-03,"AR",6,3,"Arkansas"
"473",2022-09-10,"AR",6,3,"Arkansas"
"474",2022-09-17,"AR",5,3,"Arkansas"
"475",2022-09-24,"AR",7,3,"Arkansas"
"476",2022-10-01,"AR",10,3,"Arkansas"
"477",2022-10-08,"AR",22,3,"Arkansas"
"478",2022-10-15,"AR",37,3,"Arkansas"
"479",2022-10-22,"AR",47,3,"Arkansas"
"480",2022-10-29,"AR",76,3,"Arkansas"
"481",2022-11-05,"AR",133,3,"Arkansas"
"482",2022-11-12,"AR",200,3,"Arkansas"
"483",2022-11-19,"AR",207,3,"Arkansas"
"484",2022-11-26,"AR",403,3,"Arkansas"
"485",2022-12-03,"AR",462,3,"Arkansas"
"486",2022-12-10,"AR",343,3,"Arkansas"
"487",2022-12-17,"AR",247,3,"Arkansas"
